Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2014-10-20T04:25:56.753,2,0.0030717055146565106,-1.707169716132545,FoVP,-0.5406876975461141,0.7108707267913973,2456950.6829919834
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2014-10-20T06:12:30.975,5,-9.787875545236543E-4,-1.710767681652225,FoVF,-0.5390075245565732,0.7127271644600779,2456950.7570046377
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2014-12-11T17:51:20.130,4,0.0014283164795954664,-2.129555429687519,FoVF,-0.6380789350090036,0.703799499045997,2457003.2466743635
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2015-05-03T17:54:07.742,6,-0.003833504728996379,-0.1414962950421552,FoVP,0.6753350499735874,0.719541400729185,2457146.2483055997
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2015-05-03T19:40:41.956,4,0.0013745082059837778,-0.1405881505978526,FoVF,0.6743739791322723,0.7208188080673634,2457146.322306656
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2015-06-01T17:39:07.072,2,0.002703910783135475,1.1296426704183307,FoVP,-0.7028791016889173,0.7215664804288996,2457175.2354452815
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2015-06-01T19:25:41.283,6,-0.0020967986504922026,1.1275811022740707,FoVF,-0.7017412706455977,0.7224273029790375,2457175.3094462156
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2015-06-27T23:36:45.060,3,0.001277976999711526,-0.5075644093897269,FoVP,0.5002388178353582,0.7250301135641177,2457201.4817935824
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2015-06-28T01:23:19.310,2,0.004866023080179945,-0.5113268716809252,FoVF,0.5020530700617343,0.7231538523307376,2457201.5557961008
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2015-10-31T01:22:33.379,2,0.005312151000561948,-1.7407926829890616,FoVF,-0.6363121362831388,0.7095445523177263,2457326.5564798224
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2015-10-31T05:36:13.391,7,-0.005921312316811559,-1.7472779558561229,FoVP,-0.6334782366124979,0.7131217898641976,2457326.732651605
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2015-11-30T05:14:54.555,1,0.004785411988860027,2.7539830585906135,FoVP,0.6947036783577101,0.7073666915757092,2457356.720406635
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2015-12-21T18:56:45.650,2,0.005086117847759608,-2.3037594783744195,FoVF,-0.5548562715001754,0.7079613746327965,2457378.2928918754
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2015-12-21T23:10:25.686,7,-0.006843995918265259,-2.298077063363383,FoVP,-0.5595723760516068,0.702823589883434,2457378.469062899
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2016-03-26T01:50:15.776,3,1.5915055828483177E-4,0.8480288026450644,FoVP,0.16210002855943853,0.7084555068751888,2457473.5815745196
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2016-03-26T03:36:49.964,3,0.002460197539117178,0.8529124066531842,FoVF,0.15788132001812702,0.7100644115368178,2457473.6555775893
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2016-04-03T01:56:21.748,2,0.0023420530426661464,1.4103785127346753,FoVP,-0.35464338191599865,0.7116148884836346,2457481.585370126
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2016-04-03T03:42:55.940,5,-1.5692291614798686E-4,1.4151357637088084,FoVF,-0.35905007769542496,0.7100907477067431,2457481.65937257
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2016-04-03T07:56:36.082,7,-0.006280211727376849,1.426364614160965,FoVP,-0.36945306696677266,0.7063893519509843,2457481.8355211304
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2016-05-13T19:02:20.390,5,-0.0033935001459777007,-0.26420829596466716,FoVP,0.7130090896557766,0.720053155680672,2457522.294797478
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2016-05-13T20:48:54.599,4,0.0018658026037847754,-0.2643014744170604,FoVF,0.7126855512788558,0.7205262199646516,2457522.368798285
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2016-06-16T14:26:08.271,1,0.006288501971914371,0.9152660663504388,FoVF,-0.611230953391628,0.7200503713278307,2457556.1002121456
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2016-06-16T18:39:48.345,5,-0.002559069546742863,0.9065918691037645,FoVP,-0.6056346373344864,0.7235269834771132,2457556.2763571125
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2016-07-07T12:46:37.079,7,-0.0066053068380081915,-0.46591455272038,FoVP,0.33503852328086453,0.7282864709505367,2457577.029690478
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2016-07-07T14:33:11.207,7,-0.00395654988259856,-0.47038683090847205,FoVF,0.3372842163925632,0.7265972637400584,2457577.1036923137
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2016-07-07T18:46:51.198,2,0.002385626422753521,-0.4810099412924014,FoVP,0.34258706806332845,0.7225573142430286,2457577.279839455
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2016-07-07T20:33:25.465,2,0.005065604411655286,-0.4854637214985502,FoVF,0.3447973246932448,0.7208521729019721,2457577.353842911
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2016-11-10T00:45:58.640,2,0.0030720882746995684,-1.8027775652219584,FoVP,-0.6923421256545584,0.7096042202025935,2457702.5319816666
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2016-11-10T02:32:32.852,6,-0.0021187813739206775,-1.8045301921984616,FoVF,-0.6916996987527222,0.7104614704110058,2457702.605995052
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2016-12-13T06:11:03.983,3,8.179350715835888E-4,2.671846329716237,FoVP,0.6276737677448992,0.7072397849882095,2457735.760564418
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2016-12-13T07:57:38.166,1,0.005852650600574445,2.6741676373404566,FoVF,0.625267676409838,0.7088930971174051,2457735.834577102
47 UMa,2.8774641785472954,0.7056410796438181,10:59:27.973,+40:25:48.921,2016-12-30T12:13:27.390,3,-1.0983578771594084E-4,-2.522878412112933,FoVP,-0.44305608227311294,0.7083217238712096,2457753.0135025224
