Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2014-09-19T01:45:15.336,1,0.004921116547784617,-2.3340694251789054,FoVP,-0.27346212901436595,0.7147223506166693,2456919.5702212756
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2014-09-19T03:31:49.598,3,0.0020833821919262526,-2.338576511440908,FoVF,-0.2708066797514968,0.7165903258586066,2456919.6442344533
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2014-09-19T07:45:29.567,6,-0.004618605822488715,-2.3493385786012824,FoVP,-0.26442314707261855,0.7210029828598896,2456919.820404648
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2014-10-21T00:41:42.955,3,0.0030080034202609506,-2.0584905266562155,FoVF,-0.6889723295457233,0.7114902931629491,2456951.528924584
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2014-11-22T22:24:32.457,2,0.0020869953023542986,2.6467145924183564,FoVP,0.5949918350164506,0.7070547686627687,2456984.436875812
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2014-11-23T00:11:06.618,1,0.0065549941377766084,2.6499368950132274,FoVF,0.5922073498798947,0.7087513248313536,2456984.510889099
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2014-12-09T00:15:46.426,2,0.004934759385799225,-2.56111405002939,FoVF,-0.3376706499450585,0.7069317864001234,2457000.5154883466
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2014-12-09T04:29:26.425,6,-0.003767277143350954,-2.5512130388533567,FoVP,-0.3444644410245882,0.7015493497811475,2457000.691659342
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-03-12T12:23:04.351,7,-0.006528699790993295,0.47789289015769915,FoVP,-0.008446719981989538,0.7013559067335734,2457094.0211312184
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-03-12T18:23:18.865,5,-0.0027263843509767417,0.4958897528753778,FoVP,-0.02228346940007382,0.7041154301542495,2457094.2712822496
