Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2014-09-04T05:23:20.202,2,0.0022019497917296627,-0.4191332024019324,FoVP,0.6455838567416186,0.722489260424421,2456904.72367234
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2014-09-26T16:00:26.747,1,0.005864494612544722,0.776849971197213,FoVF,-0.3050730131353269,0.7139889666657946,2456927.164198718
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2014-09-26T20:14:06.947,2,0.002678932586235787,0.7645312143970621,FoVP,-0.2950347537416753,0.7160394014260103,2456927.3403452854
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2014-09-26T22:00:41.193,4,0.0014086720196504012,0.7593383718047528,FoVF,-0.2908038182455529,0.7168626051166205,2456927.4143472454
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2014-09-27T02:14:21.210,4,-0.001453072649030111,0.7469387969468231,FoVP,-0.2807027829380583,0.7187294291587092,2456927.5904917563
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2014-09-27T04:00:55.383,6,-0.002587422200738492,0.7417138657979956,FoVF,-0.27644723038539254,0.7194742978850274,2456927.6644928944
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2014-09-27T08:14:35.237,6,-0.005126090160313816,0.7292423312753742,FoVP,-0.26629192634353605,0.7211519837968946,2456927.8406355507
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2014-10-01T08:18:09.256,6,-0.00433167216567241,0.4413873156800636,FoVP,-0.036180280357906415,0.7203723345656357,2456931.8428257336
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2014-10-01T10:04:43.396,7,-0.0033385061164157522,0.4361204672410279,FoVF,-0.032121643698634725,0.7196550762860536,2456931.9168268577
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2014-10-01T14:18:23.326,4,-8.457802998027692E-4,0.42360799628942397,FoVP,-0.02251298409529992,0.7178511908512343,2456932.0929712714
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2014-10-01T16:04:57.530,4,2.5501019008408087E-4,0.4183617820360334,FoVF,-0.01849864003229434,0.7170531064974249,2456932.1669731606
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2014-10-01T20:18:37.619,2,0.0030010150277285704,0.40590043686296506,FoVP,-0.008998454934097093,0.715058789098493,2456932.3431194783
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2014-10-01T22:05:11.893,2,0.0042069864694881465,0.400676512474166,FoVF,-0.005030909826897487,0.7141815468819535,2456932.4171222015
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2015-01-03T05:51:45.318,2,0.004991758916841737,-2.5737149490749625,FoVF,-0.2988544216638774,0.6962409415432477,2457025.7415660247
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2015-01-03T10:05:25.373,5,-0.0030255067161345395,-2.5842344701908506,FoVP,-0.2917990553317494,0.7013540537532766,2457025.9177376
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2015-01-18T05:57:41.596,7,-0.0036860843677781396,2.679697435128576,FoVF,0.5590460241587114,0.7027977331112064,2457040.746955831
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2015-02-20T09:38:44.470,1,0.004544463307354067,-2.0801581051787847,FoVP,-0.6883065908606248,0.7047125771295581,2457073.903717981
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2015-02-20T11:25:18.672,5,-8.368866452392965E-4,-2.0790423897292967,FoVF,-0.6888471639006118,0.7039364977972424,2457073.9777323375
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2015-07-06T16:22:14.298,7,-0.006048946821503241,-0.2876361175869449,FoVP,0.3592887403787874,0.7238461663817946,2457210.18678857
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2015-07-06T18:08:48.570,6,-0.0028138258520700025,-0.28356791349058963,FoVF,0.3568514975954073,0.7259078625890253,2457210.2607907006
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2015-07-06T22:22:28.556,1,0.004841904209599878,-0.27384926697746464,FoVP,0.35099372458873773,0.7307915790401255,2457210.436934491
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2015-07-26T00:14:21.473,4,9.907935446892187E-4,0.9418729528175387,FoVF,-0.6345386957573046,0.7280665433992729,2457229.5130098173
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2016-01-12T00:56:11.322,4,0.0010709742525762162,-2.3537105719570324,FoVF,-0.4748211601849966,0.6987062453926591,2457399.537007641
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2016-03-01T22:48:35.108,5,-0.0032582363136640946,-2.100129874971145,FoVP,-0.6308642143117481,0.7051972163213522,2457449.453237234
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2016-07-15T11:29:56.817,7,-0.006626916021807426,-0.431494804902752,FoVP,0.5295598263651794,0.722212015147255,2457584.983033219
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2016-07-15T13:16:31.077,6,-0.0025057486324550834,-0.4283229173916025,FoVF,0.5277570404998665,0.7242764832837733,2457585.057034549
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2016-08-09T17:25:42.763,2,0.0019914663562875467,1.0384263323251794,FoVP,-0.7174454714845053,0.7250480254526549,2457610.227746193
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2016-08-09T19:12:16.974,6,-0.003149136492570755,1.0393793505138762,FoVF,-0.7181035614665258,0.7245484548379841,2457610.301746013
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2016-09-06T11:13:15.842,5,-0.0024790663589459618,-0.3912750732999062,FoVP,0.6183405882634577,0.7213959490722384,2457637.966416805
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2016-09-06T12:59:50.051,3,0.0023592248628596427,-0.39341183808295854,FoVF,0.6196969014267548,0.7196028077622657,2457638.040417058
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2017-01-20T18:16:54.123,5,-0.00353494106434298,-2.2203029114081043,FoVP,-0.5960499731374269,0.7021351512115199,2457774.260580604
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2017-03-12T01:20:07.445,3,4.889888129806358E-4,-2.168364974707724,FoVP,-0.5238948055629936,0.7093970515625918,2457824.5593966376
HD 134987,3.9857987351724993,-0.4417314569857729,15:13:28.667,-25:18:33.653,2017-03-12T03:06:41.673,7,-0.003880542303342472,-2.165121605468692,FoVF,-0.5256944410698144,0.7073262851611359,2457824.633410492
