Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2014-10-31T08:45:37.503,7,-0.006266668988953082,-1.0347932784266383,FoVP,0.7080220454610359,0.7090587667068213,2456961.8663411215
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2014-10-31T10:32:11.705,5,-8.492754822733433E-4,-1.035398499181251,FoVF,0.7077655825306871,0.7093402536534686,2456961.940343163
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2014-12-01T08:24:58.498,2,0.0029056677565224,0.0689398746904253,FoVP,-0.6419293014126535,0.7045494017093328,2456992.849993695
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2014-12-26T08:24:26.753,7,-0.00563166848724456,-1.6706412146243463,FoVP,0.47808606764336076,0.7034441086714156,2457017.848342986
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2014-12-26T10:11:00.902,6,-0.002270684936551274,-1.6750636362371543,FoVF,0.48005777954281803,0.7017006891309369,2457017.9223462935
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2015-02-16T03:53:17.641,1,0.005601848194875928,-1.7935415939703747,FoVF,-0.30945281012499554,0.700848021848027,2457069.6593395006
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2015-02-16T08:06:57.798,3,9.22297772492301E-4,-1.8057824033541645,FoVP,-0.3038011604618755,0.7037930474325418,2457069.8355015446
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2015-02-16T09:53:32.006,5,-0.001023318374992118,-1.810932348731537,FoVF,-0.3014149696916149,0.7050206450535852,2457069.9095097836
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2015-02-16T14:07:11.885,7,-0.005605802818611888,-1.8232081573556358,FoVP,-0.2957066321611745,0.7079192559760791,2457070.0856686677
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2015-03-07T02:17:30.469,4,-0.00185250658643769,3.118227601210474,FoVP,0.44462999948840415,0.705809797871444,2457088.593317218
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2015-03-07T04:04:04.667,4,5.225429298207449E-4,3.1133140764277423,FoVF,0.4472778858863741,0.704517787057685,2457088.667326807
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2015-04-16T07:52:25.917,1,0.003772338195889078,-2.4661706944036847,FoVP,-0.6904044041506342,0.7123929975437846,2457128.82797685
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2015-04-16T09:39:00.137,5,-0.0010993423977455668,-2.4683466067397504,FoVF,-0.6896810577316073,0.7133356226842965,2457128.9019886595
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2015-05-20T13:21:43.357,1,0.004145027839123319,1.8411878294835478,FoVP,0.6918373404525678,0.7250060590447064,2457163.058857094
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2015-06-11T13:19:30.523,5,-0.0035127975643197166,2.993521828441464,FoVP,-0.6023717103330761,0.7202926866571625,2457185.058589083
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2015-07-26T17:57:20.301,6,-0.004598735107884242,1.082642207393342,FoVP,0.2949400654935023,0.7244780397400383,2457230.2530088797
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2015-07-26T19:43:54.562,6,-0.002042941656491683,1.087180546910315,FoVF,0.290440886149581,0.7261631258446712,2457230.3270173
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2015-07-26T23:57:34.547,1,0.003882413621397473,1.0980705749050486,FoVP,0.2796366746920806,0.7300897723675083,2457230.5031763283
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2015-07-27T01:44:08.676,1,0.006304569645526515,1.1026818225420874,FoVF,0.2750579292245233,0.7317029616259909,2457230.577183193
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2015-08-03T19:49:59.285,1,0.006627762857290362,1.628730236670533,FoVF,-0.2554541040116204,0.7306237337095005,2457238.331286219
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2015-08-04T00:03:39.162,3,8.479343385303062E-4,1.6397239146752864,FoVP,-0.266273180447794,0.7266785027875033,2457238.5074424664
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2015-08-04T01:50:13.378,6,-0.0016460266605327614,1.6443076943890615,FoVF,-0.2707784615531097,0.7249839109699149,2457238.5814496907
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2015-09-18T22:34:18.443,1,0.0034123035469389054,-0.26246670980367154,FoVP,0.5231480639216797,0.7216327836343489,2457284.444335837
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2015-10-07T10:35:57.753,6,-0.0037054572763727646,0.809996929676044,FoVP,-0.6414769730130445,0.7139418118966031,2457302.944513239
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2015-11-11T15:53:17.221,5,-0.00337260822131145,-1.178869547310041,FoVP,0.705715543448526,0.7095402446003757,2457338.162605683
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2015-11-11T17:39:51.427,4,0.0019121130631554633,-1.1803242785133388,FoVF,0.7059961721782765,0.7091479522057791,2457338.2366077914
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2015-12-16T09:28:26.968,1,0.0042133103795264915,-0.22825027285813687,FoVP,-0.5561757519848778,0.7050080755510711,2457372.893272219
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2015-12-16T11:15:01.214,4,7.500028328859937E-4,-0.23258284999248147,FoVF,-0.5537694099037375,0.706489007221914,2457372.967275999
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2016-01-07T09:35:04.950,4,-5.850230664037006E-4,-1.8091134512742293,FoVP,0.392196211320354,0.7010357653485083,2457394.89699092
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2016-01-07T11:21:39.172,3,0.0020617683195441063,-1.813998979108127,FoVF,0.3944210945741306,0.6994622120285028,2457394.9709959286
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2016-02-28T21:18:09.373,2,0.001968447916232524,-1.9672316630550315,FoVP,-0.3915250796752788,0.7053690190714363,2457447.385236294
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2016-02-28T23:04:43.593,5,-6.785866585973131E-4,-1.972024341396058,FoVF,-0.3893403334296938,0.7069088917129082,2457447.459245656
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2016-02-29T03:18:23.462,7,-0.006934005519974606,-1.9834561610017971,FoVP,-0.38410785704737666,0.7105595389299142,2457447.63540678
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2016-03-22T09:24:47.175,6,-0.00503930870610881,2.7314007663235307,FoVP,0.562278349157155,0.7095071757483548,2457469.8907448715
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2016-03-22T11:11:21.336,6,-0.0016458147753509605,2.727187543637642,FoVF,0.5646141656002233,0.7080578456756087,2457469.9647550522
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2016-04-27T03:01:16.023,4,-0.0019039369178818683,-2.60131622258269,FoVP,-0.7141324713385094,0.7144144894175078,2457505.626531971
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2016-06-02T14:19:03.382,7,-0.006759464206347049,1.6913896015096284,FoVP,0.640721870523848,0.722243204601379,2457542.099506526
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2016-06-02T16:05:37.617,6,-0.0018434746767180133,1.693151944312504,FoVF,0.638523688644242,0.723862504602105,2457542.1735180654
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2016-06-21T10:07:53.120,1,0.005986326695081085,2.758077179368861,FoVF,-0.5248635420457359,0.7251023711909212,2457560.9260337492
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2016-06-21T14:21:33.126,6,-0.004751336384934301,2.764241971676021,FoVP,-0.5309793044699835,0.7197390364974376,2457561.1021989184
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2016-08-06T20:38:38.490,6,-0.0028308149539041927,0.8497614222695671,FoVF,0.2696988591859518,0.7236864761388188,2457607.3650694187
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2016-08-07T00:52:18.504,2,0.003120800294360029,0.8606783563099788,FoVP,0.2589568438470901,0.7276501006640763,2457607.5412265128
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2016-08-07T02:38:52.644,1,0.005555725616431308,0.8653001204123716,FoVF,0.2544037994914238,0.7292781466876649,2457607.615232561
HD190360,5.251797900075596,0.5217976560241001,20:03:37.405,+29:53:48.492,2016-08-15T00:58:21.471,2,0.0024328255047145393,1.4039893387971891,FoVP,-0.2876399829556485,0.7247132064216305,2457615.5453699506
