Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
pi men,1.4711588864391785,-1.4044511025609931,05:37:09.887,-80:28:08.835,2014-08-26T11:57:42.545,6,-0.0026455075274405752,2.0015286778137646,FoVF,0.7107617377919241,0.7248778205565649,2456896.000134164
pi men,1.4711588864391785,-1.4044511025609931,05:37:09.887,-80:28:08.835,2014-10-05T19:10:41.637,5,-0.0029991834634001953,2.6627417315748128,FoVP,0.7128996318403713,0.716471365443529,2456936.2998767677
pi men,1.4711588864391785,-1.4044511025609931,05:37:09.887,-80:28:08.835,2014-10-05T20:57:15.848,3,0.0022838316045134172,2.6637231813162576,FoVF,0.71305942275769,0.7162628109053508,2456936.3738820697
pi men,1.4711588864391785,-1.4044511025609931,05:37:09.887,-80:28:08.835,2014-12-03T12:19:01.041,1,0.003806277865275983,-2.5774235889688715,FoVP,0.6687916601382434,0.7041720552448657,2456995.0129250837
pi men,1.4711588864391785,-1.4044511025609931,05:37:09.887,-80:28:08.835,2015-01-09T05:20:30.754,2,0.0018483360075268788,-0.38940843377758394,FoVP,-0.6650286226438183,0.6990755278802481,2457031.7222357495
pi men,1.4711588864391785,-1.4044511025609931,05:37:09.887,-80:28:08.835,2015-01-09T07:07:04.961,7,-0.0036779549877961576,-0.38997936988954773,FoVF,-0.6637011434964694,0.7003621130941226,2457031.796243224
pi men,1.4711588864391785,-1.4044511025609931,05:37:09.887,-80:28:08.835,2015-01-31T11:14:14.981,3,1.6902291321186676E-4,-1.5102617944300798,FoVP,0.6726995457452181,0.7046351104813058,2457053.9681167835
pi men,1.4711588864391785,-1.4044511025609931,05:37:09.887,-80:28:08.835,2015-01-31T13:00:49.193,1,0.005698030709610931,-1.5105254175558342,FoVF,0.6738568617783545,0.7035976565731427,2457054.0421249424
pi men,1.4711588864391785,-1.4044511025609931,05:37:09.887,-80:28:08.835,2015-03-08T04:25:59.386,2,0.0023460027347483887,0.6618380938148933,FoVP,-0.7038596364466566,0.7048501605161187,2457089.685298193
pi men,1.4711588864391785,-1.4044511025609931,05:37:09.887,-80:28:08.835,2015-03-08T06:12:33.596,6,-0.003057450900066815,0.6625816962349677,FoVF,-0.7035178973820415,0.7052477254843929,2457089.7593069733
